exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
bin/cuda_memcpy_shmem,1024,1.6028097040000000e+00,8192,1.9565548144531250e-04,5.3592978446304693e+09,1.1790455258187033e+11,32,32
bin/cuda_memcpy_shmem,2048,1.5389836600000002e+00,4096,3.7572843261718755e-04,1.1163126438912287e+10,2.4558878165607031e+11,32,32
bin/cuda_memcpy_shmem,4096,1.5414557260000001e+00,2048,7.5266392871093757e-04,2.2290447781566708e+10,4.9038985119446759e+11,32,32
bin/cuda_memcpy_shmem,8192,1.5326608580000001e+00,1024,1.4967391191406251e-03,4.4836714121918289e+10,9.8640771068220239e+11,32,32
bin/cuda_memcpy_shmem,16384,1.5362446600000002e+00,512,3.0004778515625003e-03,8.9464235125152512e+10,1.9682131727533552e+12,32,32
bin/cuda_memcpy_shmem,32768,1.5349171330000000e+00,256,5.9957700507812500e-03,1.7908322282307861e+11,3.9398309021077295e+12,32,32
bin/cuda_memcpy_shmem,65536,1.5321407680000001e+00,128,1.1969849750000001e-02,3.5881547268377362e+11,7.8939403990430195e+12,32,32
bin/cuda_memcpy_shmem,131072,1.5292912620000001e+00,32,4.7790351937500003e-02,3.5948404829635388e+11,7.9086490625197852e+12,32,32
bin/cuda_memcpy_shmem,262144,2.2937288740000001e+00,16,1.4335805462500001e-01,4.7935553335847308e+11,1.0545821733886408e+13,32,32
bin/cuda_memcpy_shmem,524288,1.9128158580000001e+00,4,4.7820396450000002e-01,5.7481310769016003e+11,1.2645888369183521e+13,32,32
bin/cuda_memcpy_shmem,1048576,1.9118452730000002e+00,1,1.9118452730000002e+00,5.7510492261263647e+11,1.2652308297478002e+13,32,32
bin/cuda_memcpy_shmem,2097152,7.2730237640000004e+00,1,7.2730237640000004e+00,6.0470674286442493e+11,1.3303548343017348e+13,32,32
bin/cuda_memcpy_shmem,4194304,2.9086671307000003e+01,1,2.9086671307000003e+01,6.0481950164514917e+11,1.3306029036193281e+13,32,32
bin/cuda_memcpy_shmem,1024,1.1642318360000001e+00,4096,2.8423628808593753e-04,3.6890996820327454e+09,8.1160193004720398e+10,32,64
bin/cuda_memcpy_shmem,2048,2.2350302410000000e+00,4096,5.4566167993164063e-04,7.6866383590019617e+09,1.6910604389804315e+11,32,64
bin/cuda_memcpy_shmem,4096,2.2330919170000003e+00,2048,1.0903769125976564e-03,1.5386620723682461e+10,3.3850565592101416e+11,32,64
bin/cuda_memcpy_shmem,8192,2.2294492670000001e+00,1024,2.1771965498046876e-03,3.0823521195649612e+10,6.7811746630429150e+11,32,64
bin/cuda_memcpy_shmem,16384,2.2292784380000001e+00,512,4.3540594492187503e-03,6.1651766387380272e+10,1.3563388605223660e+12,32,64
bin/cuda_memcpy_shmem,32768,2.2282345820000002e+00,256,8.7040413359375009e-03,1.2336129650105214e+11,2.7139485230231470e+12,32,64
bin/cuda_memcpy_shmem,65536,2.2290853960000003e+00,128,1.7414729656250003e-02,2.4662842207593912e+11,5.4258252856706602e+12,32,64
bin/cuda_memcpy_shmem,131072,2.2261798950000000e+00,32,6.9568121718750001e-02,2.4695030941693057e+11,5.4329068071724727e+12,32,64
bin/cuda_memcpy_shmem,262144,1.6698340960000002e+00,8,2.0872926200000003e-01,3.2922780484894348e+11,7.2430117066767568e+12,32,64
bin/cuda_memcpy_shmem,524288,1.3926433360000001e+00,2,6.9632166800000006e-01,3.9475707790842432e+11,8.6846557139853350e+12,32,64
bin/cuda_memcpy_shmem,1048576,2.7848947600000002e+00,1,2.7848947600000002e+00,3.9481263118754260e+11,8.6858778861259375e+12,32,64
bin/cuda_memcpy_shmem,2097152,1.0588563055000000e+01,1,1.0588563055000000e+01,4.1535820188814093e+11,9.1378804415390996e+12,32,64
bin/cuda_memcpy_shmem,4194304,4.2342974172000005e+01,1,4.2342974172000005e+01,4.1546883251411102e+11,9.1403143153104434e+12,32,64
bin/cuda_memcpy_shmem,1024,1.7231515330000000e+00,4096,4.2069129223632813e-04,2.4925070220159216e+09,5.4835154484350273e+10,64,64
bin/cuda_memcpy_shmem,2048,1.6855486410000000e+00,2048,8.2302179736328126e-04,5.0962246849807758e+09,1.1211694306957707e+11,64,64
bin/cuda_memcpy_shmem,4096,1.6923344040000001e+00,1024,1.6526703164062501e-03,1.0151580647059870e+10,2.2333477423531714e+11,64,64
bin/cuda_memcpy_shmem,8192,1.6843684110000001e+00,512,3.2897820527343752e-03,2.0399182354411892e+10,4.4878201179706165e+11,64,64
bin/cuda_memcpy_shmem,16384,1.6834426730000001e+00,256,6.5759479414062502e-03,4.0820800041582405e+10,8.9805760091481287e+11,64,64
bin/cuda_memcpy_shmem,32768,1.6806421090000001e+00,128,1.3130016476562501e-02,8.1777644827534180e+10,1.7991081862057520e+12,64,64
bin/cuda_memcpy_shmem,65536,1.6794873940000001e+00,64,2.6241990531250002e-02,1.6366774048201041e+11,3.6006902906042290e+12,64,64
bin/cuda_memcpy_shmem,131072,1.6777569970000001e+00,16,1.0485981231250001e-01,1.6383654333464835e+11,3.6044039533622637e+12,64,64
bin/cuda_memcpy_shmem,262144,1.2584770790000002e+00,4,3.1461926975000004e-01,2.1842106744003714e+11,4.8052634836808174e+12,64,64
bin/cuda_memcpy_shmem,524288,1.0502421440000000e+00,1,1.0502421440000000e+00,2.6172812480852032e+11,5.7580187457874473e+12,64,64
bin/cuda_memcpy_shmem,1048576,4.1972027120000002e+00,1,4.1972027120000002e+00,2.6196295562100073e+11,5.7631850236620156e+12,64,64
bin/cuda_memcpy_shmem,2097152,1.5953390256000000e+01,1,1.5953390256000000e+01,2.7568099573380109e+11,6.0649819061436240e+12,64,64
bin/cuda_memcpy_shmem,4194304,6.3808446797000002e+01,1,6.3808446797000002e+01,2.7570309147915363e+11,6.0654680125413799e+12,64,64
